language,length,word,display,in_answer_pool
en,5,accts,accts,false
en,5,accum,accum,false
en,5,accur,accur,false
en,5,accus,accus,false
en,5,acedy,acedy,false
en,5,acerb,acerb,false
en,5,aceta,aceta,false
en,5,achar,achar,false
en,5,ached,ached,false
en,5,achen,achen,false
en,5,acher,acher,false
en,5,aches,aches,false
en,5,achoo,achoo,false
en,5,achor,achor,false
en,5,acids,acids,false
en,5,acidy,acidy,false
en,5,acier,acier,false
en,5,acies,acies,false
en,5,acing,acing,false
en,5,acini,acini,false
en,5,ackee,ackee,false
en,5,acker,acker,false
en,5,ackey,ackey,false
en,5,aclys,aclys,false
en,5,acmes,acmes,false
en,5,acmic,acmic,false
en,5,acned,acned,false
en,5,acnes,acnes,false
en,5,acock,acock,false
en,5,acoin,acoin,false
en,5,acold,acold,false
en,5,acoma,acoma,false
en,5,acone,acone,false
en,5,acool,acool,false
en,5,acorn,acorn,false
en,5,acost,acost,false
en,5,acoup,acoup,false
en,5,acrab,acrab,false
en,5,acred,acred,false
en,5,acres,acres,true
en,5,acrid,acrid,false
en,5,acroa,acroa,false
en,5,acron,acron,false
en,5,acrux,acrux,false
en,5,acryl,acryl,false
en,5,acted,acted,true
en,5,actin,actin,false
en,5,acton,acton,false
en,5,actor,actor,true
en,5,actos,actos,false
en,5,actus,actus,false
en,5,acuan,acuan,false
en,5,acute,acute,false
en,5,acyls,acyls,false
en,5,adage,adage,false
en,5,adagy,adagy,false
en,5,adams,adams,true
en,5,adapa,adapa,false
en,5,adapt,adapt,true
en,5,adati,adati,false
en,5,adaty,adaty,false
en,5,adawe,adawe,false
en,5,adawn,adawn,false
en,5,adays,adays,false
en,5,adcon,adcon,false
en,5,addax,addax,false
en,5,addda,addda,false
en,5,added,added,true
en,5,adder,adder,false
en,5,addie,addie,false
en,5,addio,addio,false
en,5,addis,addis,false
en,5,addle,addle,false
en,5,addnl,addnl,false
en,5,adead,adead,false
en,5,adeem,adeem,false
en,5,adeep,adeep,false
en,5,adela,adela,false
en,5,adeps,adeps,false
en,5,adept,adept,false
en,5,adfix,adfix,false
en,5,adiel,adiel,false
en,5,adieu,adieu,false
en,5,adion,adion,false
en,5,adios,adios,false
en,5,adits,adits,false
en,5,adjag,adjag,false
en,5,adlai,adlai,false
en,5,adlay,adlay,false
en,5,adlet,adlet,false
en,5,adman,adman,false
en,5,admen,admen,false
en,5,admin,admin,false
en,5,admit,admit,true
en,5,admix,admix,false
en,5,admov,admov,false
en,5,admrx,admrx,false
en,5,adnex,adnex,false
en,5,adobe,adobe,false
en,5,adobo,adobo,false
en,5,adolf,adolf,false
en,5,adopt,adopt,true
en,5,adore,adore,true
en,5,adorn,adorn,false
en,5,adown,adown,false
en,5,adoxa,adoxa,false
en,5,adoxy,adoxy,false
en,5,adoze,adoze,false
en,5,adpao,adpao,false
en,5,adrad,adrad,false
en,5,adret,adret,false
en,5,adrip,adrip,false
en,5,adrop,adrop,false
en,5,adrue,adrue,false
en,5,adsum,adsum,false
en,5,adult,adult,true
en,5,adunc,adunc,false
en,5,adure,adure,false
en,5,adusk,adusk,false
en,5,adust,adust,false
en,5,adyta,adyta,false
en,5,adzer,adzer,false
en,5,adzes,adzes,false
en,5,aecia,aecia,false
en,5,aedes,aedes,false
en,5,aeger,aeger,false
en,5,aegir,aegir,false
en,5,aegis,aegis,false
en,5,aegle,aegle,false
en,5,aeons,aeons,false
en,5,aequi,aequi,false
en,5,aeric,aeric,false
en,5,aerie,aerie,false
en,5,aeron,aeron,false
en,5,aesir,aesir,false
en,5,aesop,aesop,false
en,5,aetat,aetat,false
en,5,aevia,aevia,false
en,5,aevum,aevum,false
en,5,aface,aface,false
en,5,afara,afara,false
en,5,afars,afars,false
en,5,afear,afear,false
en,5,affix,affix,false
en,5,afgod,afgod,false
en,5,afifi,afifi,false
en,5,afire,afire,false
en,5,aflat,aflat,false
en,5,afley,afley,false
en,5,aflow,aflow,false
en,5,afoam,afoam,false
en,5,afoot,afoot,false
en,5,afore,afore,false
en,5,afoul,afoul,false
en,5,afray,afray,false
en,5,afret,afret,false
en,5,afric,afric,false
en,5,afrit,afrit,false
en,5,afros,afros,false
en,5,after,after,true
en,5,agada,agada,false
en,5,agade,agade,false
en,5,again,again,true
en,5,agama,agama,false
en,5,agami,agami,false
en,5,agamy,agamy,false
en,5,agape,agape,false
en,5,agars,agars,false
en,5,agasp,agasp,false
en,5,agast,agast,false
en,5,agata,agata,false
en,5,agate,agate,false
en,5,agaty,agaty,false
en,5,agave,agave,false
en,5,agaze,agaze,false
en,5,agena,agena,false
en,5,agend,agend,false
en,5,agene,agene,false
en,5,agent,agent,true
en,5,agers,agers,false
en,5,agete,agete,false
en,5,agger,agger,false
en,5,aggie,aggie,false
en,5,aggro,aggro,false
en,5,aggry,aggry,false
en,5,aggur,aggur,false
en,5,aghan,aghan,false
en,5,aghas,aghas,false
en,5,agiel,agiel,false
en,5,agile,agile,false
en,5,aging,aging,false
en,5,agios,agios,false
en,5,agism,agism,false
en,5,agist,agist,false
en,5,aglee,aglee,false
en,5,aglet,aglet,false
en,5,agley,agley,false
en,5,aglow,aglow,false
en,5,agmas,agmas,false
en,5,agnat,agnat,false
en,5,agnel,agnel,false
en,5,agnes,agnes,false
en,5,agnus,agnus,false
en,5,agoge,agoge,false
en,5,agoho,agoho,false
en,5,agone,agone,false
en,5,agons,agons,false
en,5,agony,agony,true
en,5,agora,agora,false
en,5,agrah,agrah,false
en,5,agral,agral,false
en,5,agree,agree,true
en,5,agria,agria,false
en,5,agric,agric,false
en,5,agrin,agrin,false
en,5,agrom,agrom,false
en,5,agron,agron,false
en,5,agsam,agsam,false
en,5,agues,agues,false
en,5,aguey,aguey,false
en,5,agura,agura,false
en,5,agush,agush,false
en,5,agust,agust,false
en,5,ahead,ahead,true
en,5,aheap,aheap,false
en,5,ahems,ahems,false
en,5,ahind,ahind,false
en,5,ahint,ahint,false
en,5,ahmed,ahmed,false
en,5,ahmet,ahmet,false
en,5,ahold,ahold,true
en,5,aholt,aholt,false
en,5,ahong,ahong,false
en,5,ahsan,ahsan,false
en,5,ahull,ahull,false
en,5,ahunt,ahunt,false
en,5,ahura,ahura,false
en,5,ahush,ahush,false
en,5,ahwal,ahwal,false
en,5,aided,aided,false
en,5,aider,aider,false
en,5,aides,aides,false
en,5,aiery,aiery,false
en,5,aiger,aiger,false
en,5,aigre,aigre,false
en,5,ailed,ailed,false
en,5,ailie,ailie,false
en,5,aillt,aillt,false
en,5,aimak,aimak,false
en,5,aimed,aimed,false
en,5,aimee,aimee,false
en,5,aimer,aimer,false
en,5,ainee,ainee,false
en,5,ainoi,ainoi,false
en,5,ainus,ainus,false
en,5,aioli,aioli,false
en,5,airan,airan,false
en,5,aired,aired,false
en,5,airer,airer,false
en,5,airns,airns,false
en,5,airth,airth,false
en,5,airts,airts,false
en,5,aisle,aisle,true
en,5,aitch,aitch,false
en,5,aitis,aitis,false
en,5,aiver,aiver,false
en,5,aiwan,aiwan,false
en,5,aizle,aizle,false
en,5,ajaja,ajaja,false
en,5,ajari,ajari,false
en,5,ajava,ajava,false
en,5,ajhar,ajhar,false
en,5,ajiva,ajiva,false
en,5,ajuga,ajuga,false
en,5,akala,akala,false
en,5,akali,akali,false
en,5,akasa,akasa,false
en,5,akebi,akebi,false
en,5,akees,akees,false
en,5,akeki,akeki,false
en,5,akela,akela,false
en,5,akene,akene,false
en,5,aking,aking,false
en,5,akkad,akkad,false
en,5,aknee,aknee,false
en,5,aknow,aknow,false
en,5,akpek,akpek,false
en,5,akron,akron,false
en,5,akule,akule,false
en,5,akund,akund,false
en,5,alack,alack,false
en,5,alada,alada,false
en,5,alain,alain,false
en,5,alaki,alaki,false
en,5,alala,alala,false
en,5,alamo,alamo,false
en,5,aland,aland,false
en,5,alane,alane,false
en,5,alang,alang,false
en,5,alani,alani,false
en,5,alans,alans,false
en,5,alant,alant,false
en,5,alapa,alapa,false
en,5,alarm,alarm,true
en,5,alary,alary,false
en,5,alate,alate,false
en,5,alawi,alawi,false
en,5,alban,alban,false
en,5,albas,albas,false
en,5,albee,albee,false
en,5,albin,albin,false
en,5,album,album,true
en,5,albus,albus,false
en,5,albyn,albyn,false
en,5,alcae,alcae,false
en,5,alces,alces,false
en,5,alcid,alcid,false
en,5,alcor,alcor,false
en,5,alday,alday,false
en,5,aldea,aldea,false
en,5,alden,alden,false
en,5,alder,alder,false
en,5,aldim,aldim,false
en,5,aldol,aldol,false
en,5,aldus,aldus,false
en,5,aleak,aleak,false
en,5,aleck,aleck,false
en,5,alecs,alecs,false
en,5,alefs,alefs,false
en,5,aleft,aleft,false
en,5,alenu,alenu,false
en,5,aleph,aleph,false
en,5,alert,alert,true
en,5,aleut,aleut,false
en,5,alfas,alfas,false
en,5,alfet,alfet,false
en,5,alfin,alfin,false
en,5,alfur,alfur,false
en,5,algae,algae,false
en,5,algal,algal,false
en,5,algas,algas,false
en,5,algic,algic,false
en,5,algid,algid,false
en,5,algin,algin,false
en,5,algol,algol,false
en,5,algor,algor,false
en,5,algum,algum,false
en,5,alhet,alhet,false
en,5,alias,alias,true
en,5,alibi,alibi,true
en,5,alice,alice,false
en,5,alick,alick,false
en,5,alida,alida,false
en,5,alids,alids,false
en,5,alien,alien,true
en,5,aliet,aliet,false
en,5,alife,alife,false
en,5,alifs,alifs,false
en,5,align,align,false
en,5,alike,alike,true
en,5,alima,alima,false
en,5,aline,aline,false
en,5,alish,alish,false
en,5,aliso,aliso,false
en,5,alisp,alisp,false
en,5,alist,alist,false
en,5,alite,alite,false
en,5,ality,ality,false
en,5,alive,alive,true
en,5,aliya,aliya,false
en,5,alkes,alkes,false
en,5,alkin,alkin,false
en,5,alkyd,alkyd,false
en,5,alkyl,alkyl,false
en,5,allah,allah,false
en,5,allan,allan,true
en,5,allay,allay,false
en,5,allen,allen,false
en,5,aller,aller,false
en,5,alley,alley,true
en,5,allez,allez,false
en,5,allie,allie,false
en,5,allis,allis,false
en,5,allod,allod,false
en,5,alloo,alloo,false
en,5,allot,allot,false
en,5,allow,allow,true
en,5,alloy,alloy,false
en,5,allyl,allyl,false
en,5,almah,almah,false
en,5,alman,alman,false
en,5,almas,almas,false
en,5,almeh,almeh,false
en,5,almes,almes,false
en,5,almon,almon,false
en,5,almud,almud,false
en,5,almug,almug,false
en,5,alnus,alnus,false
en,5,alody,alody,false
en,5,aloed,aloed,false
en,5,aloes,aloes,false
en,5,aloft,aloft,false
en,5,alogy,alogy,false
en,5,aloha,aloha,false
en,5,aloid,aloid,false
en,5,aloin,aloin,false
en,5,alois,alois,false
en,5,aloma,aloma,false
en,5,alone,alone,true
en,5,along,along,true
en,5,aloof,aloof,false
en,5,alosa,alosa,false
en,5,alose,alose,false
en,5,aloud,aloud,false
en,5,alout,alout,false
en,5,alowe,alowe,false
en,5,alpax,alpax,false
en,5,alpen,alpen,false
en,5,alpha,alpha,true
en,5,alpid,alpid,false
en,5,altar,altar,true
en,5,alter,alter,true
en,5,altho,altho,false
en,5,altin,altin,false
en,5,altos,altos,false
en,5,altun,altun,false
en,5,altus,altus,false
en,5,aluco,aluco,false
en,5,alula,alula,false
en,5,alums,alums,false
en,5,alure,alure,false
en,5,aluta,aluta,false
en,5,alvah,alvah,false
en,5,alvan,alvan,false
en,5,alvar,alvar,false
en,5,alvia,alvia,false
en,5,alvin,alvin,false
en,5,alvus,alvus,false
en,5,alway,alway,false
en,5,amaas,amaas,false
en,5,amadi,amadi,false
en,5,amaga,amaga,false
en,5,amahs,amahs,false
en,5,amain,amain,false
en,5,amala,amala,false
en,5,amalg,amalg,false
en,5,amang,amang,false
en,5,amani,amani,false
en,5,amant,amant,false
en,5,amapa,amapa,false
en,5,amara,amara,false
en,5,amass,amass,false
en,5,amate,amate,false
en,5,amati,amati,false
en,5,amaut,amaut,false
en,5,amaze,amaze,false
en,5,amban,amban,false
en,5,ambar,ambar,false
en,5,ambas,ambas,false
en,5,ambay,ambay,false
en,5,amber,amber,true
en,5,ambit,ambit,false
en,5,amble,amble,false
en,5,ambon,ambon,false
en,5,ambos,ambos,false
en,5,ambry,ambry,false
en,5,ameba,ameba,false
en,5,ameed,ameed,false
en,5,ameen,ameen,false
en,5,ameer,ameer,false
en,5,amelu,amelu,false
en,5,amend,amend,false
en,5,amene,amene,false
en,5,amens,amens,false
en,5,ament,ament,false
en,5,amess,amess,false
en,5,amhar,amhar,false
en,5,amias,amias,false
en,5,amice,amice,false
en,5,amici,amici,false
en,5,amide,amide,false
en,5,amido,amido,false
en,5,amids,amids,false
en,5,amies,amies,false
en,5,amiga,amiga,false
en,5,amigo,amigo,false
en,5,amine,amine,false
en,5,amini,amini,false
en,5,amino,amino,false
en,5,amins,amins,false
en,5,amire,amire,false
en,5,amirs,amirs,false
en,5,amish,amish,false
en,5,amiss,amiss,false
en,5,amita,amita,false
en,5,amity,amity,false
en,5,amlet,amlet,false
en,5,amman,amman,false
en,5,ammer,ammer,false
en,5,ammos,ammos,false
en,5,amnia,amnia,false
en,5,amnic,amnic,false
en,5,amoke,amoke,false
en,5,amoks,amoks,false
en,5,amole,amole,false
en,5,among,among,true
en,5,amora,amora,false
en,5,amort,amort,false
en,5,amour,amour,false
en,5,amove,amove,false
en,5,amowt,amowt,false
en,5,amper,amper,false
en,5,amphi,amphi,false
en,5,ample,ample,false
en,5,amply,amply,false
en,5,ampul,ampul,false
en,5,ampyx,ampyx,false
en,5,amrit,amrit,false
en,5,amsel,amsel,false
en,5,amuck,amuck,false
en,5,amula,amula,false
en,5,amuse,amuse,false
en,5,amuze,amuze,false
en,5,amvis,amvis,false
en,5,amylo,amylo,false
en,5,amyls,amyls,false
en,5,amzel,amzel,false
en,5,anabo,anabo,false
en,5,anack,anack,false
en,5,anama,anama,false
en,5,anana,anana,false
en,5,anasa,anasa,false
en,5,ancha,ancha,false
en,5,ancle,ancle,false
en,5,ancon,ancon,false
en,5,ancor,ancor,false
en,5,ancre,ancre,false
en,5,andes,andes,false
en,5,andia,andia,false
en,5,andor,andor,false
en,5,andre,andre,false
en,5,anear,anear,false
en,5,anele,anele,false
en,5,anend,anend,false
en,5,anent,anent,false
en,5,angas,angas,false
en,5,angel,angel,true
en,5,anger,anger,true
en,5,angia,angia,false
en,5,angie,angie,false
en,5,angka,angka,false
en,5,angle,angle,true
en,5,anglo,anglo,false
en,5,angor,angor,false
en,5,angry,angry,true
en,5,angst,angst,false
en,5,angus,angus,false
en,5,anhyd,anhyd,false
en,5,aniba,aniba,false
en,5,anice,anice,false
en,5,anigh,anigh,false
en,5,anile,anile,false
en,5,anils,anils,false
en,5,anima,anima,false
en,5,anime,anime,false
en,5,animi,animi,false
en,5,animo,animo,false
en,5,anion,anion,false
en,5,anise,anise,false
en,5,anita,anita,false
en,5,anjan,anjan,false
en,5,anjou,anjou,false
en,5,ankee,ankee,false
en,5,anker,anker,false
en,5,ankhs,ankhs,false
en,5,ankle,ankle,true
en,5,ankou,ankou,false
en,5,ankus,ankus,false
en,5,anlas,anlas,false
en,5,anlet,anlet,false
en,5,anlia,anlia,false
en,5,anmia,anmia,false
en,5,annal,annal,false
en,5,annam,annam,false
en,5,annas,annas,false
en,5,annat,annat,false
en,5,annet,annet,false
en,5,annex,annex,false
en,5,annie,annie,false
en,5,anniv,anniv,false
en,5,annot,annot,false
en,5,annoy,annoy,true
en,5,annul,annul,false
en,5,annum,annum,false
en,5,annus,annus,false
en,5,anoas,anoas,false
en,5,anode,anode,false
en,5,anoia,anoia,false
en,5,anoil,anoil,false
en,5,anole,anole,false
en,5,anoli,anoli,false
en,5,anomy,anomy,false
en,5,anorn,anorn,false
en,5,anour,anour,false
en,5,anous,anous,false
en,5,anova,anova,false
en,5,ansae,ansae,false
en,5,ansar,ansar,false
en,5,ansel,ansel,false
en,5,anser,anser,false
en,5,antae,antae,false
en,5,antal,antal,false
en,5,antar,antar,false
en,5,antas,antas,false
en,5,anted,anted,false
en,5,antes,antes,false
en,5,antic,antic,false
en,5,antiq,antiq,false
en,5,antis,antis,false
en,5,anton,anton,false
en,5,antra,antra,false
en,5,antre,antre,false
en,5,antsy,antsy,false
en,5,antum,antum,false
en,5,anura,anura,false
en,5,anury,anury,false
en,5,anvil,anvil,false
en,5,anzac,anzac,false
en,5,aoife,aoife,false
en,5,aorta,aorta,false
en,5,aotea,aotea,false
en,5,aotes,aotes,false
en,5,aotus,aotus,false
en,5,aouad,aouad,false
en,5,apace,apace,false
en,5,apaid,apaid,false
en,5,apair,apair,false
en,5,apama,apama,false
en,5,apart,apart,true
en,5,apass,apass,false
en,5,apast,apast,false
en,5,apeak,apeak,false
en,5,apeek,apeek,false
en,5,apers,apers,false
en,5,apert,apert,false
en,5,aperu,aperu,false
en,5,apery,apery,false
en,5,aphid,aphid,false
en,5,aphis,aphis,false
en,5,aphra,aphra,false
en,5,apian,apian,false
en,5,apiin,apiin,false
en,5,apili,apili,false
en,5,apina,apina,false
en,5,aping,aping,false
en,5,apiol,apiol,false
en,5,apios,apios,false
en,5,apish,apish,false
en,5,apism,apism,false
en,5,apium,apium,false
en,5,apnea,apnea,false
en,5,apoda,apoda,false
en,5,apods,apods,false
en,5,apoop,apoop,false
en,5,aport,aport,false
en,5,apout,apout,false
en,5,appal,appal,false
en,5,appar,appar,false
en,5,appay,appay,false
en,5,appel,appel,false
en,5,appet,appet,false
en,5,apple,apple,true
en,5,apply,apply,true
en,5,appmt,appmt,false
en,5,appro,appro,false
en,5,apptd,apptd,false
en,5,appui,appui,false
en,5,apres,apres,false
en,5,april,april,false
en,5,apron,apron,true
en,5,apses,apses,false
en,5,apsid,apsid,false
en,5,apsis,apsis,false
en,5,aptal,aptal,false
en,5,apter,apter,false
en,5,aptly,aptly,false
en,5,aquae,aquae,false
en,5,aquas,aquas,false
en,5,araba,araba,false
en,5,arabs,arabs,true
en,5,araby,araby,false
en,5,araca,araca,false
en,5,arace,arace,false
en,5,arach,arach,false
en,5,arado,arado,false
en,5,arage,arage,false
en,5,arain,arain,false
en,5,arake,arake,false
en,5,araks,araks,false
en,5,aramu,aramu,false
en,5,arank,arank,false
en,5,arara,arara,false
en,5,araru,araru,false
en,5,arase,arase,false
en,5,arati,arati,false
en,5,araua,araua,false
en,5,arawa,arawa,false
en,5,arber,arber,false
en,5,arbor,arbor,false
en,5,arcae,arcae,false
en,5,arced,arced,false
en,5,arces,arces,false
en,5,archd,archd,false
en,5,arche,arche,false
en,5,archt,archt,false
en,5,archy,archy,false
en,5,arcos,arcos,false
en,5,arcus,arcus,false
en,5,ardea,ardea,false
en,5,ardeb,ardeb,false
en,5,arder,arder,false
en,5,ardor,ardor,false
en,5,ardri,ardri,false
en,5,aread,aread,false
en,5,areae,areae,false
en,5,areal,areal,false
en,5,arean,arean,false
en,5,arear,arear,false
en,5,areas,areas,true
en,5,areca,areca,false
en,5,areek,areek,false
en,5,areel,areel,false
en,5,arefy,arefy,false
en,5,areic,areic,false
en,5,arena,arena,true
en,5,arend,arend,false
en,5,areng,areng,false
en,5,arent,arent,false
en,5,arere,arere,false
en,5,arest,arest,false
en,5,arete,arete,false
en,5,argal,argal,false
en,5,argan,argan,false
en,5,argas,argas,false
en,5,argel,argel,false
en,5,argid,argid,false
en,5,argil,argil,false
en,5,argin,argin,false
en,5,argle,argle,false
en,5,argol,argol,false
en,5,argon,argon,false
en,5,argos,argos,false
en,5,argot,argot,false
en,5,argue,argue,true
en,5,argus,argus,false
en,5,arhar,arhar,false
en,5,arhat,arhat,false
en,5,arian,arian,false
en,5,arias,arias,false
en,5,ariel,ariel,true
en,5,aries,aries,false
en,5,ariki,ariki,false
en,5,arils,arils,false
en,5,arioi,arioi,false
en,5,arion,arion,false
en,5,ariot,ariot,false
en,5,arise,arise,true
en,5,arish,arish,false
en,5,arist,arist,false
en,5,arite,arite,false
en,5,arith,arith,false
en,5,arius,arius,false
en,5,arjun,arjun,true
en,5,arkab,arkab,false
en,5,arkie,arkie,false
en,5,arles,arles,false
en,5,armed,armed,true
en,5,armer,armer,false
en,5,armet,armet,false
en,5,armil,armil,false
en,5,armit,armit,false
en,5,armor,armor,true
en,5,arneb,arneb,false
en,5,arnee,arnee,false
en,5,arnut,arnut,false
en,5,aroar,aroar,false
en,5,arock,arock,false
en,5,aroid,aroid,false
en,5,aroma,aroma,false
en,5,aroon,aroon,false
en,5,aroph,aroph,false
en,5,arose,arose,false
en,5,arpen,arpen,false
en,5,arrah,arrah,false
en,5,arras,arras,false
en,5,arrau,arrau,false
en,5,array,array,false
en,5,arret,arret,false
en,5,arrgt,arrgt,false
en,5,arrha,arrha,false
en,5,arrie,arrie,false
en,5,arris,arris,false
en,5,arrow,arrow,true
en,5,arroz,arroz,false
en,5,arses,arses,false
en,5,arsis,arsis,false
en,5,arsle,arsle,false
en,5,arson,arson,true
en,5,arsyl,arsyl,false
en,5,artal,artal,false
en,5,artar,artar,false
en,5,artel,artel,false
en,5,arter,arter,false
en,5,artha,artha,false
en,5,artic,artic,false
en,5,artie,artie,false
en,5,artly,artly,false
en,5,artou,artou,false
en,5,artsy,artsy,false
en,5,artus,artus,false
en,5,aruac,aruac,false
en,5,aruke,aruke,false
en,5,arulo,arulo,false
en,5,arums,arums,false
en,5,arupa,arupa,false
en,5,arusa,arusa,false
en,5,arval,arval,false
en,5,arvel,arvel,false
en,5,arvos,arvos,false
en,5,aryan,aryan,false
en,5,aryls,aryls,false
en,5,arzan,arzan,false
en,5,arzun,arzun,false
en,5,asale,asale,false
en,5,asana,asana,false
en,5,asaph,asaph,false
en,5,asarh,asarh,false
en,5,ascan,ascan,false
en,5,ascii,ascii,false
en,5,ascon,ascon,false
en,5,ascot,ascot,false
en,5,ascry,ascry,false
en,5,ascus,ascus,false
en,5,asdic,asdic,false
en,5,asgmt,asgmt,false
en,5,ashed,ashed,false
en,5,ashen,ashen,false
en,5,asher,asher,false
en,5,ashes,ashes,true
en,5,ashet,ashet,false
en,5,ashir,ashir,false
en,5,ashot,ashot,false
en,5,ashur,ashur,false
en,5,asian,asian,false
en,5,aside,aside,true
en,5,askar,askar,false
en,5,asked,asked,true
en,5,asker,asker,false
en,5,askew,askew,false
en,5,askip,askip,false
en,5,askoi,askoi,false
en,5,askos,askos,false
en,5,aslop,aslop,false
en,5,asoak,asoak,false
en,5,asoka,asoka,false
en,5,aspca,aspca,false
en,5,aspen,aspen,false
en,5,asper,asper,false
en,5,aspic,aspic,false
en,5,aspis,aspis,false
en,5,assai,assai,false
en,5,assam,assam,false
en,5,assay,assay,false
en,5,asses,asses,true
en,5,asset,asset,true
en,5,assis,assis,false
en,5,assoc,assoc,false
en,5,assot,assot,false
en,5,astay,astay,false
en,5,astel,astel,false
en,5,aster,aster,false
en,5,astir,astir,false
en,5,astor,astor,false
en,5,astre,astre,false
en,5,astur,astur,false
en,5,asuri,asuri,false
en,5,asway,asway,false
en,5,aswim,aswim,false
en,5,asyla,asyla,false
en,5,asyle,asyle,false
en,5,async,async,false
en,5,atake,atake,false
en,5,atame,atame,false
en,5,atavi,atavi,false
en,5,ataxy,ataxy,false
en,5,ateba,ateba,false
en,5,atees,atees,false
en,5,atelo,atelo,false
en,5,ately,ately,false
en,5,athar,athar,false
en,5,athel,athel,false
en,5,atilt,atilt,false
en,5,atimy,atimy,false
en,5,ating,ating,false
en,5,atlas,atlas,false
en,5,atlee,atlee,false
en,5,atman,atman,false
en,5,atmas,atmas,false
en,5,atmid,atmid,false
en,5,atmos,atmos,false
en,5,atnah,atnah,false
en,5,atoke,atoke,false
en,5,atole,atole,false
en,5,atoll,atoll,false
en,5,atoms,atoms,true
en,5,atomy,atomy,false
en,5,atone,atone,false
en,5,atony,atony,false
en,5,atopy,atopy,false
en,5,atour,atour,false
en,5,atren,atren,false
en,5,atria,atria,false
en,5,atrip,atrip,false
en,5,attal,attal,false
en,5,attar,attar,false
en,5,atter,atter,false
en,5,attic,attic,true
en,5,attid,attid,false
en,5,attle,attle,false
en,5,attry,attry,false
en,5,atule,atule,false
en,5,atune,atune,false
en,5,atwin,atwin,false
en,5,atypy,atypy,false
en,5,aubin,aubin,false
en,5,aucan,aucan,false
en,5,aucht,aucht,false
en,5,audad,audad,false
en,5,audio,audio,true
en,5,audit,audit,false
en,5,aueto,aueto,false
en,5,augen,augen,false
en,5,auger,auger,false
en,5,auget,auget,false
en,5,aught,aught,false
en,5,augur,augur,false
en,5,aulae,aulae,false
en,5,aulas,aulas,false
en,5,aulic,aulic,false
en,5,auloi,auloi,false
en,5,aulos,aulos,false
en,5,aumil,aumil,false
en,5,aunts,aunts,false
en,5,aunty,aunty,true
en,5,aurae,aurae,false
en,5,aural,aural,false
en,5,aurar,aurar,false
en,5,auras,auras,false
en,5,aurei,aurei,false
en,5,aures,aures,false
en,5,auric,auric,false
en,5,aurin,aurin,false
en,5,aurir,aurir,false
en,5,auris,auris,false
en,5,aurum,aurum,false
en,5,auryl,auryl,false
en,5,autem,autem,false
en,5,autor,autor,false
en,5,autos,autos,false
en,5,autre,autre,false
en,5,auxil,auxil,false
en,5,auxin,auxin,false
en,5,avahi,avahi,false
en,5,avail,avail,false
en,5,avale,avale,false
en,5,avant,avant,false
en,5,avars,avars,false
en,5,avast,avast,false
en,5,avell,avell,false
en,5,avena,avena,false
en,5,avens,avens,false
